Hostname,LocalIP,HostType,OSVersion,MachineDomain,OU,SiteName,RecommendedRemediation,RemediationDetail,Products,Count,Critical,High,Medium,Low,Unknown,GroupNames,Tags,HostID,Exploits,Platform,ExPRT Critical,ExPRT High,ExPRT Medium,ExPRT Low,ExPRT Unknown,AdditionalRemediationAdvisoryUrl,AdditionalRemediationSteps,Asset Criticality,Asset Roles,Internet exposure,Managed By,Data Providers,Third-party Asset IDs,CID,Customer,Recommendation Type,Patch Publication Date,Instance state
cs-asset-001.corp.example,10.40.1.20,Workstation,Windows Server 2022,CORP.EXAMPLE,"OU=Production,DC=corp,DC=example",Dubai-DC,Install the current Microsoft cumulative security update and restart the affected host.,Update Microsoft Windows Server to the approved fixed release and validate the service.,Microsoft Windows Server,2,2,0,0,0,0,Production Servers,owner:team-1;environment:production,host-00001,0,Windows,0,0,0,0,0,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38077,"Test, deploy, restart if required, verify service health, and rescan.",Critical,Business Critical,Yes,CrowdStrike Falcon,CrowdStrike Spotlight,asset-ext-00001,sample-cid-001,Sample Organization,Patch,2026-07-11,Open
cs-asset-002.corp.example,10.40.1.21,Server,Ubuntu 22.04 LTS,CORP.EXAMPLE,"OU=Production,DC=corp,DC=example",Abu-Dhabi-DC,Upgrade Log4j to a vendor-supported fixed release and restart the application service.,Update Apache Log4j to the approved fixed release and validate the service.,Apache Log4j,3,0,3,0,0,0,Internet Services,owner:team-2;environment:production,host-00002,1,Linux,0,3,0,0,0,https://logging.apache.org/log4j/2.x/security.html,"Test, deploy, restart if required, verify service health, and rescan.",High,Standard,No,CrowdStrike Falcon,CrowdStrike Spotlight,asset-ext-00002,sample-cid-001,Sample Organization,Patch,2026-07-10,Open
cs-asset-003.corp.example,10.40.1.22,Server,Windows Server 2022,CORP.EXAMPLE,"OU=Production,DC=corp,DC=example",Cloud-AZ1,Apply the operating-system vendor OpenSSL package update and restart dependent services.,Update OpenSSL to the approved fixed release and validate the service.,OpenSSL,4,0,0,4,0,0,Corporate Endpoints,owner:team-3;environment:production,host-00003,2,Windows,0,0,4,0,0,https://www.openssl.org/news/secadv/20230207.txt,"Test, deploy, restart if required, verify service health, and rescan.",Medium,Standard,No,CrowdStrike Falcon,CrowdStrike Spotlight,asset-ext-00003,sample-cid-001,Sample Organization,Patch,2026-07-09,Open
cs-asset-004.corp.example,10.40.1.23,Workstation,Ubuntu 22.04 LTS,CORP.EXAMPLE,"OU=Production,DC=corp,DC=example",Dubai-DC,"Upgrade Apache Tomcat, disable unused AJP connectors, and require a connector secret.",Update Apache Tomcat to the approved fixed release and validate the service.,Apache Tomcat,5,0,0,0,5,0,Production Servers,owner:team-4;environment:production,host-00004,3,Linux,0,0,0,5,0,https://tomcat.apache.org/security-9.html,"Test, deploy, restart if required, verify service health, and rescan.",Low,Standard,No,CrowdStrike Falcon,CrowdStrike Spotlight,asset-ext-00004,sample-cid-001,Sample Organization,Patch,2026-07-08,Open
cs-asset-005.corp.example,10.40.1.24,Server,Windows Server 2022,CORP.EXAMPLE,"OU=Production,DC=corp,DC=example",Abu-Dhabi-DC,Update Google Chrome to the latest enterprise stable release and relaunch the browser.,Update Google Chrome to the approved fixed release and validate the service.,Google Chrome,6,6,0,0,0,0,Internet Services,owner:team-5;environment:production,host-00005,0,Windows,0,0,0,0,0,https://chromereleases.googleblog.com/,"Test, deploy, restart if required, verify service health, and rescan.",Critical,Business Critical,No,CrowdStrike Falcon,CrowdStrike Spotlight,asset-ext-00005,sample-cid-001,Sample Organization,Patch,2026-07-07,Open
cs-asset-006.corp.example,10.40.1.25,Server,Ubuntu 22.04 LTS,CORP.EXAMPLE,"OU=Production,DC=corp,DC=example",Cloud-AZ1,Install the fixed Cisco IOS XE release and disable the HTTP server when it is not required.,Update Cisco IOS XE to the approved fixed release and validate the service.,Cisco IOS XE,7,0,7,0,0,0,Corporate Endpoints,owner:team-6;environment:production,host-00006,1,Linux,0,7,0,0,0,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-iosxe-webui-privesc-j22SaA4z,"Test, deploy, restart if required, verify service health, and rescan.",High,Standard,Yes,CrowdStrike Falcon,CrowdStrike Spotlight,asset-ext-00006,sample-cid-001,Sample Organization,Patch,2026-07-06,Open
cs-asset-007.corp.example,10.40.1.26,Workstation,Windows Server 2022,CORP.EXAMPLE,"OU=Production,DC=corp,DC=example",Dubai-DC,Install the distribution kernel security update and reboot into the fixed kernel.,Update Linux Kernel to the approved fixed release and validate the service.,Linux Kernel,8,0,0,8,0,0,Production Servers,owner:team-1;environment:production,host-00007,2,Windows,0,0,8,0,0,https://nvd.nist.gov/vuln/detail/CVE-2024-1086,"Test, deploy, restart if required, verify service health, and rescan.",Medium,Standard,No,CrowdStrike Falcon,CrowdStrike Spotlight,asset-ext-00007,sample-cid-001,Sample Organization,Patch,2026-07-05,Open
cs-asset-008.corp.example,10.40.1.27,Server,Ubuntu 22.04 LTS,CORP.EXAMPLE,"OU=Production,DC=corp,DC=example",Abu-Dhabi-DC,Install the supported Exchange Server security update and verify Extended Protection configuration.,Update Microsoft Exchange Server to the approved fixed release and validate the service.,Microsoft Exchange Server,9,0,0,0,9,0,Internet Services,owner:team-2;environment:production,host-00008,3,Linux,0,0,0,9,0,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21410,"Test, deploy, restart if required, verify service health, and rescan.",Low,Standard,No,CrowdStrike Falcon,CrowdStrike Spotlight,asset-ext-00008,sample-cid-001,Sample Organization,Patch,2026-07-04,Open
cs-asset-009.corp.example,10.40.1.28,Server,Windows Server 2022,CORP.EXAMPLE,"OU=Production,DC=corp,DC=example",Cloud-AZ1,Install the current Microsoft cumulative security update and restart the affected host.,Update Microsoft Windows Server to the approved fixed release and validate the service.,Microsoft Windows Server,2,2,0,0,0,0,Corporate Endpoints,owner:team-3;environment:production,host-00009,0,Windows,0,0,0,0,0,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38077,"Test, deploy, restart if required, verify service health, and rescan.",Critical,Business Critical,No,CrowdStrike Falcon,CrowdStrike Spotlight,asset-ext-00009,sample-cid-001,Sample Organization,Patch,2026-07-03,Open
cs-asset-010.corp.example,10.40.1.29,Workstation,Ubuntu 22.04 LTS,CORP.EXAMPLE,"OU=Production,DC=corp,DC=example",Dubai-DC,Upgrade Log4j to a vendor-supported fixed release and restart the application service.,Update Apache Log4j to the approved fixed release and validate the service.,Apache Log4j,3,0,3,0,0,0,Production Servers,owner:team-4;environment:production,host-00010,1,Linux,0,3,0,0,0,https://logging.apache.org/log4j/2.x/security.html,"Test, deploy, restart if required, verify service health, and rescan.",High,Standard,No,CrowdStrike Falcon,CrowdStrike Spotlight,asset-ext-00010,sample-cid-001,Sample Organization,Patch,2026-07-02,Open
cs-asset-011.corp.example,10.40.1.30,Server,Windows Server 2022,CORP.EXAMPLE,"OU=Production,DC=corp,DC=example",Abu-Dhabi-DC,Apply the operating-system vendor OpenSSL package update and restart dependent services.,Update OpenSSL to the approved fixed release and validate the service.,OpenSSL,4,0,0,4,0,0,Internet Services,owner:team-5;environment:production,host-00011,2,Windows,0,0,4,0,0,https://www.openssl.org/news/secadv/20230207.txt,"Test, deploy, restart if required, verify service health, and rescan.",Medium,Standard,Yes,CrowdStrike Falcon,CrowdStrike Spotlight,asset-ext-00011,sample-cid-001,Sample Organization,Patch,2026-07-01,Open
