Host IP,DNS Name,Finding Name,Finding ID,CVE,Risk Rating,Exploit Evidence,Finding Status,Data Center,Detection Count,Finding Confidence,Threat Summary,Impact,Fix,Vendor Reference,Operating System,First Seen,Last Seen,Finding Evidence,Service Protocol,Service Port
10.30.14.51,asset-031.corp.local,Apache Tomcat AJP Request Injection,300031,CVE-2020-1938,Medium,,Active,DC2,3,Confirmed,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://tomcat.apache.org/security-9.html,RHEL 8,2026-04-06,2026-06-30,Apache Tomcat AJP Request Injection detected on 10.30.14.51:8009.,tcp,8009
10.30.15.52,asset-032.corp.local,Apache Log4j Remote Code Execution,300032,CVE-2021-44228,Serious,,Active,DR,3,Confirmed,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://logging.apache.org/log4j/2.x/security.html,Network Appliance,2026-04-07,2026-06-30,Apache Log4j Remote Code Execution detected on 10.30.15.52:8080.,tcp,8080
10.30.16.53,asset-033.corp.local,Microsoft SQL Server Unsupported Version,300033,,Critical,,Active,DC1,6,Confirmed,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://learn.microsoft.com/sql/sql-server/end-of-support,Windows Server 2019,2026-01-18,2026-06-30,Microsoft SQL Server Unsupported Version detected on 10.30.16.53:1433.,tcp,1433
10.30.17.54,asset-034.corp.local,OpenSSL Security Update Available,300034,CVE-2023-0286,Urgent,Exploit available: https://www.openssl.org/news/vulnerabilities.html,Active,DC2,8,Confirmed,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.openssl.org/news/vulnerabilities.html,Ubuntu 22.04,2025-11-15,2026-06-30,OpenSSL Security Update Available detected on 10.30.17.54:443.,tcp,443
10.30.18.55,asset-035.corp.local,Remote Desktop Weak Encryption Enabled,300035,,Minimal,Exploit available: https://www.qualys.com/research/security-alerts/,Active,DR,3,Confirmed,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/,RHEL 8,2026-04-10,2026-06-30,Remote Desktop Weak Encryption Enabled detected on 10.30.18.55:3389.,tcp,3389
10.30.10.56,asset-036.corp.local,Nginx Security Update Available,300036,CVE-2025-2345,Medium,,Active,DC1,3,Confirmed,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://nginx.org/en/security_advisories.html,Network Appliance,2026-04-11,2026-06-30,Nginx Security Update Available detected on 10.30.10.56:443.,tcp,443
10.30.11.57,asset-037.corp.local,SMB Signing Not Required,300037,,Serious,Exploit available: https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,Active,DC2,3,Confirmed,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,Windows Server 2019,2026-04-12,2026-06-30,SMB Signing Not Required detected on 10.30.11.57:445.,tcp,445
10.30.12.58,asset-038.corp.local,Oracle Java Unsupported Version,300038,CVE-2024-20919,Critical,Exploit available: https://www.qualys.com/research/security-alerts/,Re-Opened,DR,3,Confirmed,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://www.qualys.com/research/security-alerts/,Ubuntu 22.04,2026-04-13,2026-06-30,Oracle Java Unsupported Version detected on 10.30.12.58:0.,tcp,0
10.30.13.59,asset-039.corp.local,Linux Kernel Security Update Available,300039,CVE-2024-1086,Urgent,,Active,DC1,3,Confirmed,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/,RHEL 8,2026-04-14,2026-06-30,Linux Kernel Security Update Available detected on 10.30.13.59:0.,tcp,0
10.30.14.60,asset-040.corp.local,TLS 1.0 Protocol Detection,300040,,Minimal,,Active,DC2,3,Confirmed,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",https://www.qualys.com/research/security-alerts/,Network Appliance,2026-04-15,2026-06-30,TLS 1.0 Protocol Detection detected on 10.30.14.60:443.,tcp,443
