"Tool","Asset Type","IP Address","DNS Name","Host Name","Team Name","OS Name"
"Qualys VMDR","Windows Server","10.30.11.21","asset-001.corp.local","asset-001","Windows Operations","Windows Server 2019"
"Qualys VMDR","Linux Server","10.30.12.22","asset-002.corp.local","asset-002","Linux Operations","Ubuntu 22.04"
"Qualys VMDR","Linux Server","10.30.13.23","asset-003.corp.local","asset-003","Linux Operations","RHEL 8"
"Qualys VMDR","Network Device","10.30.14.24","asset-004.corp.local","asset-004","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Windows Server","10.30.15.25","asset-005.corp.local","asset-005","Windows Operations","Windows Server 2019"
"Qualys VMDR","Linux Server","10.30.16.26","asset-006.corp.local","asset-006","Linux Operations","Ubuntu 22.04"
"Qualys VMDR","Linux Server","10.30.17.27","asset-007.corp.local","asset-007","Linux Operations","RHEL 8"
"Qualys VMDR","Network Device","10.30.18.28","asset-008.corp.local","asset-008","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Linux Server","10.30.10.29","asset-009.corp.local","asset-009","Linux Operations","Windows Server 2019"
"Qualys VMDR","Linux Server","10.30.11.30","asset-010.corp.local","asset-010","Linux Operations","Ubuntu 22.04"
"Qualys VMDR","Linux Server","10.30.12.31","asset-011.corp.local","asset-011","Linux Operations","RHEL 8"
"Qualys VMDR","Network Device","10.30.13.32","asset-012.corp.local","asset-012","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Windows Server","10.30.14.33","asset-013.corp.local","asset-013","Windows Operations","Windows Server 2019"
"Qualys VMDR","Linux Server","10.30.15.34","asset-014.corp.local","asset-014","Linux Operations","Ubuntu 22.04"
"Qualys VMDR","Linux Server","10.30.16.35","asset-015.corp.local","asset-015","Linux Operations","RHEL 8"
"Qualys VMDR","Network Device","10.30.17.36","asset-016.corp.local","asset-016","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Windows Server","10.30.18.37","asset-017.corp.local","asset-017","Windows Operations","Windows Server 2019"
"Qualys VMDR","Linux Server","10.30.10.38","asset-018.corp.local","asset-018","Linux Operations","Ubuntu 22.04"
"Qualys VMDR","Linux Server","10.30.11.39","asset-019.corp.local","asset-019","Linux Operations","RHEL 8"
"Qualys VMDR","Network Device","10.30.12.40","asset-020.corp.local","asset-020","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Windows Server","10.30.13.41","asset-021.corp.local","asset-021","Windows Operations","Windows Server 2019"
"Qualys VMDR","Linux Server","10.30.14.42","asset-022.corp.local","asset-022","Linux Operations","Ubuntu 22.04"
"Qualys VMDR","Linux Server","10.30.15.43","asset-023.corp.local","asset-023","Linux Operations","RHEL 8"
"Qualys VMDR","Network Device","10.30.16.44","asset-024.corp.local","asset-024","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Windows Server","10.30.17.45","asset-025.corp.local","asset-025","Windows Operations","Windows Server 2019"
"Qualys VMDR","Linux Server","10.30.18.46","asset-026.corp.local","asset-026","Linux Operations","Ubuntu 22.04"
"Qualys VMDR","Linux Server","10.30.10.47","asset-027.corp.local","asset-027","Linux Operations","RHEL 8"
"Qualys VMDR","Network Device","10.30.11.48","asset-028.corp.local","asset-028","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Linux Server","10.30.12.49","asset-029.corp.local","asset-029","Linux Operations","Windows Server 2019"
"Qualys VMDR","Linux Server","10.30.13.50","asset-030.corp.local","asset-030","Linux Operations","Ubuntu 22.04"
"Qualys VMDR","Linux Server","10.30.14.51","asset-031.corp.local","asset-031","Linux Operations","RHEL 8"
"Qualys VMDR","Network Device","10.30.15.52","asset-032.corp.local","asset-032","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Windows Server","10.30.16.53","asset-033.corp.local","asset-033","Windows Operations","Windows Server 2019"
"Qualys VMDR","Linux Server","10.30.17.54","asset-034.corp.local","asset-034","Linux Operations","Ubuntu 22.04"
"Qualys VMDR","Linux Server","10.30.18.55","asset-035.corp.local","asset-035","Linux Operations","RHEL 8"
"Qualys VMDR","Network Device","10.30.10.56","asset-036.corp.local","asset-036","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Windows Server","10.30.11.57","asset-037.corp.local","asset-037","Windows Operations","Windows Server 2019"
"Qualys VMDR","Linux Server","10.30.12.58","asset-038.corp.local","asset-038","Linux Operations","Ubuntu 22.04"
"Qualys VMDR","Linux Server","10.30.13.59","asset-039.corp.local","asset-039","Linux Operations","RHEL 8"
"Qualys VMDR","Network Device","10.30.14.60","asset-040.corp.local","asset-040","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Cloud Asset","10.82.1.20","cld-qualys-041.example.internal","cld-qualys-041","Cloud Platform","AWS EC2"
"Qualys VMDR","Virtualization Host","10.82.1.21","virt-qualys-042.example.internal","virt-qualys-042","Infrastructure Operations","VMware ESXi 8"
"Qualys VMDR","Security Appliance","10.82.1.22","sec-qualys-043.example.internal","sec-qualys-043","Security Operations","Palo Alto PAN-OS 11"
"Qualys VMDR","Windows Server","10.82.1.23","win-qualys-044.example.internal","win-qualys-044","Windows Operations","Windows Server 2022"
"Qualys VMDR","Virtualization Host","10.82.1.24","virt-qualys-045.example.internal","virt-qualys-045","Infrastructure Operations","VMware ESXi 8"
"Qualys VMDR","Network Device","10.82.1.25","net-qualys-046.example.internal","net-qualys-046","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Cloud Asset","10.82.1.26","cld-qualys-047.example.internal","cld-qualys-047","Cloud Platform","AWS EC2"
"Qualys VMDR","Windows Server","10.82.1.27","win-qualys-048.example.internal","win-qualys-048","Windows Operations","Windows Server 2022"
"Qualys VMDR","Network Device","10.82.1.28","net-qualys-049.example.internal","net-qualys-049","Network Engineering","Cisco IOS XE 17"
"Qualys VMDR","Cloud Asset","10.82.1.29","cld-qualys-050.example.internal","cld-qualys-050","Cloud Platform","AWS EC2"
"Qualys VMDR","Linux Server","10.82.1.30","lnx-qualys-051.example.internal","lnx-qualys-051","Linux Operations","Ubuntu 24.04 LTS"
"Qualys VMDR","Cloud Asset","10.82.1.31","cld-qualys-052.example.internal","cld-qualys-052","Cloud Platform","AWS EC2"
"Qualys VMDR","Endpoint","10.82.1.32","ep-qualys-053.example.internal","ep-qualys-053","Endpoint Engineering","Windows 11 Enterprise"
