IP,DNS,NetBIOS,Datacentre,Tracking Method,OS,IP Status,QID,Title,Vuln Status,Type,Severity,Port,Protocol,FQDN,SSL,First Detected,Last Detected,Times Detected,Date Last Fixed,First Reopened,Last Reopened,Times Reopened,CVE ID,Vendor Reference,Bugtraq ID,CVSS,CVSS Base,CVSS Temporal,CVSS Environment,CVSS3.1,CVSS3.1 Base,CVSS3.1 Temporal,threat,impact,Solution,Exploitability,Associated Malware,Results,PCI Vuln,Ticket State,Instance,Category
10.30.14.51,asset-031.corp.local,ASSET-031,DC2,IP,RHEL 8,Active,300031,Apache Tomcat AJP Request Injection,Active,VUL,2,8009,tcp,asset-031.corp.local,No,2026-04-06,2026-06-30,3,,,,0,CVE-2020-1938,https://tomcat.apache.org/security-9.html,95031,AV:N/AC:M/Au:N/C:P/I:N/A:N,5.0,5.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,6.5,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Apache Tomcat AJP Request Injection detected on 10.30.14.51:8009.,No,Open,tcp/8009,Web Application
10.30.15.52,asset-032.corp.local,ASSET-032,DR,IP,Network Appliance,Active,300032,Apache Log4j Remote Code Execution,Active,VUL,3,8080,tcp,asset-032.corp.local,No,2026-04-07,2026-06-30,3,,,,0,CVE-2021-44228,https://logging.apache.org/log4j/2.x/security.html,95032,AV:N/AC:M/Au:N/C:P/I:N/A:N,2.6,2.6,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.7,3.7,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Apache Log4j Remote Code Execution detected on 10.30.15.52:8080.,No,Open,tcp/8080,Web Application
10.30.16.53,asset-033.corp.local,ASSET-033,DC1,IP,Windows Server 2019,Active,300033,Microsoft SQL Server Unsupported Version,Active,VUL,4,1433,tcp,asset-033.corp.local,No,2026-01-18,2026-06-30,6,,,,0,,https://learn.microsoft.com/sql/sql-server/end-of-support,95033,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,9.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,9.8,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,,,Microsoft SQL Server Unsupported Version detected on 10.30.16.53:1433.,Yes,Open,tcp/1433,Database
10.30.17.54,asset-034.corp.local,ASSET-034,DC2,IP,Ubuntu 22.04,Active,300034,OpenSSL Security Update Available,Active,VUL,5,443,tcp,asset-034.corp.local,Yes,2025-11-15,2026-06-30,8,,,,0,CVE-2023-0286,https://www.openssl.org/news/vulnerabilities.html,95034,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,7.5,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,8.1,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.openssl.org/news/vulnerabilities.html,,OpenSSL Security Update Available detected on 10.30.17.54:443.,Yes,Open,tcp/443,SSL
10.30.18.55,asset-035.corp.local,ASSET-035,DR,IP,RHEL 8,Active,300035,Remote Desktop Weak Encryption Enabled,Active,VUL,1,3389,tcp,asset-035.corp.local,No,2026-04-10,2026-06-30,3,,,,0,,https://www.qualys.com/research/security-alerts/,95035,AV:N/AC:M/Au:N/C:P/I:N/A:N,5.0,5.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,6.5,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/,Observed malware association,Remote Desktop Weak Encryption Enabled detected on 10.30.18.55:3389.,No,Open,tcp/3389,Windows
10.30.10.56,asset-036.corp.local,ASSET-036,DC1,IP,Network Appliance,Active,300036,Nginx Security Update Available,Active,VUL,2,443,tcp,asset-036.corp.local,Yes,2026-04-11,2026-06-30,3,,,,0,CVE-2025-2345,https://nginx.org/en/security_advisories.html,95036,AV:N/AC:M/Au:N/C:P/I:N/A:N,2.6,2.6,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.7,3.7,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Nginx Security Update Available detected on 10.30.10.56:443.,No,Open,tcp/443,Web Server
10.30.11.57,asset-037.corp.local,ASSET-037,DC2,IP,Windows Server 2019,Active,300037,SMB Signing Not Required,Active,VUL,3,445,tcp,asset-037.corp.local,No,2026-04-12,2026-06-30,3,,,,0,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95037,AV:N/AC:L/Au:N/C:P/I:P/A:P,9.0,9.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,9.8,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,,SMB Signing Not Required detected on 10.30.11.57:445.,Yes,Open,tcp/445,Windows
10.30.12.58,asset-038.corp.local,ASSET-038,DR,IP,Ubuntu 22.04,Active,300038,Oracle Java Unsupported Version,Re-Opened,VUL,4,0,tcp,asset-038.corp.local,No,2026-04-13,2026-06-30,3,,2026-05-04,2026-06-30,1,CVE-2024-20919,https://www.qualys.com/research/security-alerts/,95038,AV:N/AC:L/Au:N/C:P/I:P/A:P,7.5,7.5,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,8.1,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://www.qualys.com/research/security-alerts/,,Oracle Java Unsupported Version detected on 10.30.12.58:0.,Yes,Open,tcp/0,General
10.30.13.59,asset-039.corp.local,ASSET-039,DC1,IP,RHEL 8,Active,300039,Linux Kernel Security Update Available,Active,VUL,5,0,tcp,asset-039.corp.local,No,2026-04-14,2026-06-30,3,,,,0,CVE-2024-1086,https://www.qualys.com/research/security-alerts/,95039,AV:N/AC:M/Au:N/C:P/I:N/A:N,5.0,5.0,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.5,6.5,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Linux Kernel Security Update Available detected on 10.30.13.59:0.,No,Open,tcp/0,Linux
10.30.14.60,asset-040.corp.local,ASSET-040,DC2,IP,Network Appliance,Active,300040,TLS 1.0 Protocol Detection,Active,VUL,1,443,tcp,asset-040.corp.local,Yes,2026-04-15,2026-06-30,3,,,,0,,https://www.qualys.com/research/security-alerts/,95040,AV:N/AC:M/Au:N/C:P/I:N/A:N,2.6,2.6,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.7,3.7,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",,,TLS 1.0 Protocol Detection detected on 10.30.14.60:443.,No,Open,tcp/443,SSL
