Namespace,Deployment,Image,Component,CVE,Fixable,CVE Fixed In,Severity,CVSS,Discovered At,Reference
analytics,gateway-1,registry.example.internal/platform/analytics-gateway-1:2026.27,zlib,CVE-2026-3035,No,,Low,3.7,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
integration,gateway-2,registry.example.internal/core/integration-gateway-2:2026.28,krb5-libs,CVE-2026-3036,Yes,krb5-libs-2.1.12,Critical,9.8,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,gateway-3,registry.example.internal/digital/monitoring-gateway-3:2026.29,python3-libs,CVE-2026-3037,Yes,python3-libs-3.2.13,High,8.1,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,gateway-4,registry.example.internal/platform/shared-services-gateway-4:2026.30,go-toolset,CVE-2026-3038,Yes,go-toolset-4.3.14,High,8.1,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
edge,gateway-5,registry.example.internal/core/edge-gateway-5:2026.31,nginx,CVE-2026-3039,Yes,nginx-5.4.2,Medium,6.5,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
payments,api-1,registry.example.internal/digital/payments-api-1:2026.32,openssl,CVE-2026-3040,No,,Medium,6.5,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
identity,api-2,registry.example.internal/platform/identity-api-2:2026.33,glibc,CVE-2026-3041,Yes,glibc-3.6.4,Low,3.7,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,api-3,registry.example.internal/core/customer-portal-api-3:2026.20,curl,CVE-2026-3042,Yes,curl-4.7.5,Critical,9.8,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
analytics,api-4,registry.example.internal/digital/analytics-api-4:2026.21,libxml2,CVE-2026-3043,Yes,libxml2-5.8.6,High,8.1,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
integration,api-5,registry.example.internal/platform/integration-api-5:2026.22,expat,CVE-2026-3044,Yes,expat-2.9.7,High,8.1,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,api-1,registry.example.internal/core/monitoring-api-1:2026.23,zlib,CVE-2026-3000,No,,Medium,6.5,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,api-2,registry.example.internal/digital/shared-services-api-2:2026.24,krb5-libs,CVE-2026-3001,Yes,krb5-libs-4.2.9,Medium,6.5,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
edge,api-3,registry.example.internal/platform/edge-api-3:2026.25,python3-libs,CVE-2026-3002,Yes,python3-libs-5.3.10,Low,3.7,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
payments,worker-4,registry.example.internal/core/payments-worker-4:2026.26,go-toolset,CVE-2026-3003,Yes,go-toolset-2.4.11,Critical,9.8,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
identity,worker-5,registry.example.internal/digital/identity-worker-5:2026.27,nginx,CVE-2026-3004,Yes,nginx-3.5.12,High,8.1,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,worker-1,registry.example.internal/platform/customer-portal-worker-1:2026.28,openssl,CVE-2026-3005,No,,High,8.1,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
analytics,worker-2,registry.example.internal/core/analytics-worker-2:2026.29,glibc,CVE-2026-3006,Yes,glibc-5.7.14,Medium,6.5,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
integration,worker-3,registry.example.internal/digital/integration-worker-3:2026.30,curl,CVE-2026-3007,Yes,curl-2.8.2,Medium,6.5,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,worker-4,registry.example.internal/platform/monitoring-worker-4:2026.31,libxml2,CVE-2026-3008,Yes,libxml2-3.9.3,Low,3.7,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
shared-services,worker-5,registry.example.internal/core/shared-services-worker-5:2026.32,expat,CVE-2026-3009,Yes,expat-4.1.4,Critical,9.8,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
edge,worker-1,registry.example.internal/digital/edge-worker-1:2026.33,zlib,CVE-2026-3010,No,,High,8.1,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
payments,web-2,registry.example.internal/platform/payments-web-2:2026.20,krb5-libs,CVE-2026-3011,Yes,krb5-libs-2.3.6,High,8.1,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
identity,web-3,registry.example.internal/core/identity-web-3:2026.21,python3-libs,CVE-2026-3012,Yes,python3-libs-3.4.7,Medium,6.5,2026-02-18T08:00:00Z,https://access.redhat.com/security/security-updates/cve
customer-portal,web-4,registry.example.internal/digital/customer-portal-web-4:2026.22,go-toolset,CVE-2026-3013,Yes,go-toolset-4.5.8,Medium,6.5,2026-03-22T08:00:00Z,https://access.redhat.com/security/security-updates/cve
analytics,web-5,registry.example.internal/platform/analytics-web-5:2026.23,nginx,CVE-2026-3014,Yes,nginx-5.6.9,Low,3.7,2026-04-18T09:30:00Z,https://access.redhat.com/security/security-updates/cve
integration,web-1,registry.example.internal/core/integration-web-1:2026.24,openssl,CVE-2026-3015,No,,Critical,9.8,2025-10-12T08:00:00Z,https://access.redhat.com/security/security-updates/cve
monitoring,web-2,registry.example.internal/digital/monitoring-web-2:2026.25,glibc,CVE-2026-3016,Yes,glibc-3.8.11,High,8.1,2026-01-10T08:00:00Z,https://access.redhat.com/security/security-updates/cve
