IP,DNS,NetBIOS,Datacentre,OS,IP Status,QID,Title,Type,Severity,Port,Protocol,FQDN,SSL,CVE ID,Vendor Reference,Bugtraq ID,CVSS Base,CVSS Temporal,CVSS3.1 Base,CVSS3.1 Temporal,CVSS4 Base,Threat,Impact,Solution,Exploitability,Associated Malware,Results,PCI Vuln,Instance,Category
10.30.17.36,asset-016.corp.local,ASSET-016,DR,Network Appliance,Active,300056,Nginx Security Update Available,VUL,2,443,tcp,asset-016.corp.local,Yes,CVE-2025-2345,https://nginx.org/en/security_advisories.html,95056,2.6,2.6,3.7,3.7,3.5,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://nginx.org/en/security_advisories.html,,Nginx Security Update Available detected on 10.30.17.36:443.,No,tcp/443,Web Server
10.30.18.37,asset-017.corp.local,ASSET-017,DC1,Windows Server 2019,Active,300057,SMB Signing Not Required,VUL,5,445,tcp,asset-017.corp.local,No,,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,95057,9.0,9.0,9.8,9.8,9.4,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,,,SMB Signing Not Required detected on 10.30.18.37:445.,Yes,tcp/445,Windows
10.30.10.38,asset-018.corp.local,ASSET-018,DC2,Ubuntu 22.04,Active,300058,Oracle Java Unsupported Version,VUL,4,0,tcp,asset-018.corp.local,No,CVE-2024-20919,https://www.qualys.com/research/security-alerts/,95058,7.5,7.5,8.1,8.1,8.0,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://www.qualys.com/research/security-alerts/,,Oracle Java Unsupported Version detected on 10.30.10.38:0.,Yes,tcp/0,General
10.30.11.39,asset-019.corp.local,ASSET-019,DR,RHEL 8,Active,300059,Linux Kernel Security Update Available,VUL,3,0,tcp,asset-019.corp.local,No,CVE-2024-1086,https://www.qualys.com/research/security-alerts/,95059,5.0,5.0,6.5,6.5,6.2,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,Linux Kernel Security Update Available detected on 10.30.11.39:0.,No,tcp/0,Linux
10.30.12.40,asset-020.corp.local,ASSET-020,DC1,Network Appliance,Active,300060,TLS 1.0 Protocol Detection,VUL,2,443,tcp,asset-020.corp.local,Yes,,https://www.qualys.com/research/security-alerts/,95060,2.6,2.6,3.7,3.7,3.5,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",,,TLS 1.0 Protocol Detection detected on 10.30.12.40:443.,No,tcp/443,SSL
10.30.13.41,asset-021.corp.local,ASSET-021,DC2,Windows Server 2019,Active,300061,Apache Tomcat AJP Request Injection,VUL,5,8009,tcp,asset-021.corp.local,No,CVE-2020-1938,https://tomcat.apache.org/security-9.html,95061,9.0,9.0,9.8,9.8,9.4,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://tomcat.apache.org/security-9.html,,Apache Tomcat AJP Request Injection detected on 10.30.13.41:8009.,Yes,tcp/8009,Web Application
10.30.14.42,asset-022.corp.local,ASSET-022,DR,Ubuntu 22.04,Active,300062,Apache Log4j Remote Code Execution,VUL,4,8080,tcp,asset-022.corp.local,No,CVE-2021-44228,https://logging.apache.org/log4j/2.x/security.html,95062,7.5,7.5,8.1,8.1,8.0,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://logging.apache.org/log4j/2.x/security.html,,Apache Log4j Remote Code Execution detected on 10.30.14.42:8080.,Yes,tcp/8080,Web Application
10.30.15.43,asset-023.corp.local,ASSET-023,DC1,RHEL 8,Active,300063,Microsoft SQL Server Unsupported Version,VUL,3,1433,tcp,asset-023.corp.local,No,,https://learn.microsoft.com/sql/sql-server/end-of-support,95063,5.0,5.0,6.5,6.5,6.2,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://learn.microsoft.com/sql/sql-server/end-of-support,,Microsoft SQL Server Unsupported Version detected on 10.30.15.43:1433.,No,tcp/1433,Database
10.30.16.44,asset-024.corp.local,ASSET-024,DC2,Network Appliance,Active,300064,OpenSSL Security Update Available,VUL,2,443,tcp,asset-024.corp.local,Yes,CVE-2023-0286,https://www.openssl.org/news/vulnerabilities.html,95064,2.6,2.6,3.7,3.7,3.5,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",,,OpenSSL Security Update Available detected on 10.30.16.44:443.,No,tcp/443,SSL
10.30.17.45,asset-025.corp.local,ASSET-025,DR,Windows Server 2019,Active,300065,Remote Desktop Weak Encryption Enabled,VUL,5,3389,tcp,asset-025.corp.local,No,,https://www.qualys.com/research/security-alerts/,95065,9.0,9.0,9.8,9.8,9.4,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/,Observed malware association,Remote Desktop Weak Encryption Enabled detected on 10.30.17.45:3389.,Yes,tcp/3389,Windows
