Host IP,DNS Name,Finding Name,Finding ID,CVE,Risk Rating,Exploit Evidence,Finding Status,Data Center,Detection Count,Finding Confidence,Threat Summary,Impact,Fix,Vendor Reference,Operating System,First Seen,Last Seen,Finding Evidence,Service Protocol,Service Port
10.30.11.21,asset-001.corp.local,Apache Tomcat AJP Request Injection,300001,CVE-2020-1938,Medium,Exploit available: https://tomcat.apache.org/security-9.html,New,DC2,1,Confirmed,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://tomcat.apache.org/security-9.html,Windows Server 2019,2026-04-01,2026-04-30,Apache Tomcat AJP Request Injection detected on 10.30.11.21:8009.,tcp,8009
10.30.12.22,asset-002.corp.local,Apache Log4j Remote Code Execution,300002,CVE-2021-44228,Serious,Exploit available: https://logging.apache.org/log4j/2.x/security.html,New,DR,1,Confirmed,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://logging.apache.org/log4j/2.x/security.html,Ubuntu 22.04,2026-04-02,2026-04-30,Apache Log4j Remote Code Execution detected on 10.30.12.22:8080.,tcp,8080
10.30.13.23,asset-003.corp.local,Microsoft SQL Server Unsupported Version,300003,,Critical,,New,DC1,1,Confirmed,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://learn.microsoft.com/sql/sql-server/end-of-support,RHEL 8,2026-04-03,2026-04-30,Microsoft SQL Server Unsupported Version detected on 10.30.13.23:1433.,tcp,1433
10.30.14.24,asset-004.corp.local,OpenSSL Security Update Available,300004,CVE-2023-0286,Urgent,,New,DC2,1,Confirmed,OpenSSL Security Update Available may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.openssl.org/news/vulnerabilities.html,Network Appliance,2026-04-04,2026-04-30,OpenSSL Security Update Available detected on 10.30.14.24:443.,tcp,443
10.30.15.25,asset-005.corp.local,Remote Desktop Weak Encryption Enabled,300005,,Minimal,Exploit available: https://www.qualys.com/research/security-alerts/,New,DR,1,Confirmed,Remote Desktop Weak Encryption Enabled may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/,Windows Server 2019,2026-04-05,2026-04-30,Remote Desktop Weak Encryption Enabled detected on 10.30.15.25:3389.,tcp,3389
10.30.16.26,asset-006.corp.local,Nginx Security Update Available,300006,CVE-2025-2345,Medium,,New,DC1,1,Confirmed,Nginx Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://nginx.org/en/security_advisories.html,Ubuntu 22.04,2026-04-06,2026-04-30,Nginx Security Update Available detected on 10.30.16.26:443.,tcp,443
10.30.17.27,asset-007.corp.local,SMB Signing Not Required,300007,,Serious,Exploit available: https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,New,DC2,1,Confirmed,SMB Signing Not Required may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,Require SMB signing through Group Policy and validate domain controller and member server policy refresh.,https://learn.microsoft.com/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always,RHEL 8,2026-04-07,2026-04-30,SMB Signing Not Required detected on 10.30.17.27:445.,tcp,445
10.30.18.28,asset-008.corp.local,Oracle Java Unsupported Version,300008,CVE-2024-20919,Critical,,New,DR,1,Confirmed,Oracle Java Unsupported Version may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://www.qualys.com/research/security-alerts/,Network Appliance,2026-04-08,2026-04-30,Oracle Java Unsupported Version detected on 10.30.18.28:0.,tcp,0
10.30.10.29,asset-009.corp.local,Linux Kernel Security Update Available,300009,CVE-2024-1086,Urgent,,New,DC1,1,Confirmed,Linux Kernel Security Update Available may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://www.qualys.com/research/security-alerts/,Windows Server 2019,2026-04-09,2026-04-30,Linux Kernel Security Update Available detected on 10.30.10.29:0.,tcp,0
10.30.11.30,asset-010.corp.local,TLS 1.0 Protocol Detection,300010,,Minimal,Exploit available: https://www.qualys.com/research/security-alerts/,New,DC2,1,Confirmed,TLS 1.0 Protocol Detection may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.","Disable TLS 1.0 and TLS 1.1, enable TLS 1.2 or later, then restart the affected service.",https://www.qualys.com/research/security-alerts/,Ubuntu 22.04,2026-04-10,2026-04-30,TLS 1.0 Protocol Detection detected on 10.30.11.30:443.,tcp,443
10.30.12.31,asset-011.corp.local,Apache Tomcat AJP Request Injection,300011,CVE-2020-1938,Medium,,Active,DR,4,Confirmed,Apache Tomcat AJP Request Injection may expose the affected service to unauthorized access or service disruption.,The finding increases attack surface and should be remediated through planned patching.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://tomcat.apache.org/security-9.html,RHEL 8,2026-01-26,2026-04-30,Apache Tomcat AJP Request Injection detected on 10.30.12.31:8009.,tcp,8009
10.30.13.32,asset-012.corp.local,Apache Log4j Remote Code Execution,300012,CVE-2021-44228,Serious,,New,DC1,1,Confirmed,Apache Log4j Remote Code Execution may expose the affected service to unauthorized access or service disruption.,The finding represents a hardening issue or lower-risk exposure.,"Apply the vendor security update, restart the affected service if required, and validate with a follow-up scan.",https://logging.apache.org/log4j/2.x/security.html,Network Appliance,2026-04-12,2026-04-30,Apache Log4j Remote Code Execution detected on 10.30.13.32:8080.,tcp,8080
10.30.14.33,asset-013.corp.local,Microsoft SQL Server Unsupported Version,300013,,Critical,Exploit available: https://learn.microsoft.com/sql/sql-server/end-of-support,New,DC2,1,Confirmed,Microsoft SQL Server Unsupported Version may expose the affected service to unauthorized access or service disruption.,"Successful exploitation may allow remote compromise, privilege abuse, or exposure of sensitive services.",Upgrade the affected software to a vendor-supported release and validate with a follow-up scan.,https://learn.microsoft.com/sql/sql-server/end-of-support,Windows Server 2019,2026-04-13,2026-04-30,Microsoft SQL Server Unsupported Version detected on 10.30.14.33:1433.,tcp,1433
