"Tool","Asset Type","IP Address","DNS Name","Host Name","Team Name","OS Name"
"Custom Qualys","Windows Server","10.30.11.21","asset-001.corp.local","asset-001","Windows Operations","Windows Server 2019"
"Custom Qualys","Linux Server","10.30.12.22","asset-002.corp.local","asset-002","Linux Operations","Ubuntu 22.04"
"Custom Qualys","Linux Server","10.30.13.23","asset-003.corp.local","asset-003","Linux Operations","RHEL 8"
"Custom Qualys","Network Device","10.30.14.24","asset-004.corp.local","asset-004","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Windows Server","10.30.15.25","asset-005.corp.local","asset-005","Windows Operations","Windows Server 2019"
"Custom Qualys","Linux Server","10.30.16.26","asset-006.corp.local","asset-006","Linux Operations","Ubuntu 22.04"
"Custom Qualys","Linux Server","10.30.17.27","asset-007.corp.local","asset-007","Linux Operations","RHEL 8"
"Custom Qualys","Network Device","10.30.18.28","asset-008.corp.local","asset-008","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Linux Server","10.30.10.29","asset-009.corp.local","asset-009","Linux Operations","Windows Server 2019"
"Custom Qualys","Linux Server","10.30.11.30","asset-010.corp.local","asset-010","Linux Operations","Ubuntu 22.04"
"Custom Qualys","Linux Server","10.30.12.31","asset-011.corp.local","asset-011","Linux Operations","RHEL 8"
"Custom Qualys","Network Device","10.30.13.32","asset-012.corp.local","asset-012","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Windows Server","10.30.14.33","asset-013.corp.local","asset-013","Windows Operations","Windows Server 2019"
"Custom Qualys","Linux Server","10.30.15.34","asset-014.corp.local","asset-014","Linux Operations","Ubuntu 22.04"
"Custom Qualys","Linux Server","10.30.16.35","asset-015.corp.local","asset-015","Linux Operations","RHEL 8"
"Custom Qualys","Network Device","10.30.17.36","asset-016.corp.local","asset-016","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Windows Server","10.30.18.37","asset-017.corp.local","asset-017","Windows Operations","Windows Server 2019"
"Custom Qualys","Linux Server","10.30.10.38","asset-018.corp.local","asset-018","Linux Operations","Ubuntu 22.04"
"Custom Qualys","Linux Server","10.30.11.39","asset-019.corp.local","asset-019","Linux Operations","RHEL 8"
"Custom Qualys","Network Device","10.30.12.40","asset-020.corp.local","asset-020","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Windows Server","10.30.13.41","asset-021.corp.local","asset-021","Windows Operations","Windows Server 2019"
"Custom Qualys","Linux Server","10.30.14.42","asset-022.corp.local","asset-022","Linux Operations","Ubuntu 22.04"
"Custom Qualys","Linux Server","10.30.15.43","asset-023.corp.local","asset-023","Linux Operations","RHEL 8"
"Custom Qualys","Network Device","10.30.16.44","asset-024.corp.local","asset-024","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Windows Server","10.30.17.45","asset-025.corp.local","asset-025","Windows Operations","Windows Server 2019"
"Custom Qualys","Linux Server","10.30.18.46","asset-026.corp.local","asset-026","Linux Operations","Ubuntu 22.04"
"Custom Qualys","Linux Server","10.30.10.47","asset-027.corp.local","asset-027","Linux Operations","RHEL 8"
"Custom Qualys","Network Device","10.30.11.48","asset-028.corp.local","asset-028","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Linux Server","10.30.12.49","asset-029.corp.local","asset-029","Linux Operations","Windows Server 2019"
"Custom Qualys","Linux Server","10.30.13.50","asset-030.corp.local","asset-030","Linux Operations","Ubuntu 22.04"
"Custom Qualys","Linux Server","10.30.14.51","asset-031.corp.local","asset-031","Linux Operations","RHEL 8"
"Custom Qualys","Network Device","10.30.15.52","asset-032.corp.local","asset-032","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Windows Server","10.30.16.53","asset-033.corp.local","asset-033","Windows Operations","Windows Server 2019"
"Custom Qualys","Linux Server","10.30.17.54","asset-034.corp.local","asset-034","Linux Operations","Ubuntu 22.04"
"Custom Qualys","Linux Server","10.30.18.55","asset-035.corp.local","asset-035","Linux Operations","RHEL 8"
"Custom Qualys","Network Device","10.30.10.56","asset-036.corp.local","asset-036","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Windows Server","10.30.11.57","asset-037.corp.local","asset-037","Windows Operations","Windows Server 2019"
"Custom Qualys","Linux Server","10.30.12.58","asset-038.corp.local","asset-038","Linux Operations","Ubuntu 22.04"
"Custom Qualys","Linux Server","10.30.13.59","asset-039.corp.local","asset-039","Linux Operations","RHEL 8"
"Custom Qualys","Network Device","10.30.14.60","asset-040.corp.local","asset-040","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Security Appliance","10.83.1.20","sec-custom-qualys-041.example.internal","sec-custom-qualys-041","Security Operations","Palo Alto PAN-OS 11"
"Custom Qualys","Windows Server","10.83.1.21","win-custom-qualys-042.example.internal","win-custom-qualys-042","Windows Operations","Windows Server 2022"
"Custom Qualys","Windows Server","10.83.1.22","win-custom-qualys-043.example.internal","win-custom-qualys-043","Windows Operations","Windows Server 2022"
"Custom Qualys","Cloud Asset","10.83.1.23","cld-custom-qualys-044.example.internal","cld-custom-qualys-044","Cloud Platform","AWS EC2"
"Custom Qualys","Linux Server","10.83.1.24","lnx-custom-qualys-045.example.internal","lnx-custom-qualys-045","Linux Operations","Ubuntu 24.04 LTS"
"Custom Qualys","Network Device","10.83.1.25","net-custom-qualys-046.example.internal","net-custom-qualys-046","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Cloud Asset","10.83.1.26","cld-custom-qualys-047.example.internal","cld-custom-qualys-047","Cloud Platform","AWS EC2"
"Custom Qualys","Network Device","10.83.1.27","net-custom-qualys-048.example.internal","net-custom-qualys-048","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Security Appliance","10.83.1.28","sec-custom-qualys-049.example.internal","sec-custom-qualys-049","Security Operations","Palo Alto PAN-OS 11"
"Custom Qualys","Windows Server","10.83.1.29","win-custom-qualys-050.example.internal","win-custom-qualys-050","Windows Operations","Windows Server 2022"
"Custom Qualys","Database","10.83.1.30","db-custom-qualys-051.example.internal","db-custom-qualys-051","Database Operations","PostgreSQL 16"
"Custom Qualys","Network Device","10.83.1.31","net-custom-qualys-052.example.internal","net-custom-qualys-052","Network Engineering","Cisco IOS XE 17"
"Custom Qualys","Windows Server","10.83.1.32","win-custom-qualys-053.example.internal","win-custom-qualys-053","Windows Operations","Windows Server 2022"
"Custom Qualys","Virtualization Host","10.83.1.33","virt-custom-qualys-054.example.internal","virt-custom-qualys-054","Infrastructure Operations","VMware ESXi 8"
"Custom Qualys","Database","10.83.1.34","db-custom-qualys-055.example.internal","db-custom-qualys-055","Database Operations","PostgreSQL 16"
"Custom Qualys","Database","10.83.1.35","db-custom-qualys-056.example.internal","db-custom-qualys-056","Database Operations","PostgreSQL 16"
"Custom Qualys","Endpoint","10.83.1.36","ep-custom-qualys-057.example.internal","ep-custom-qualys-057","Endpoint Engineering","Windows 11 Enterprise"
"Custom Qualys","Cloud Asset","10.83.1.37","cld-custom-qualys-058.example.internal","cld-custom-qualys-058","Cloud Platform","AWS EC2"
"Custom Qualys","Endpoint","10.83.1.38","ep-custom-qualys-059.example.internal","ep-custom-qualys-059","Endpoint Engineering","Windows 11 Enterprise"
